 x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25, x26, x27, x28, x29, x30, x31, x32, x33, x34, x35, x36, x37, x38, x39, x40, x41, x42, x43, x44, x45, x46, x47, x48, x49, x50, x51, x52, x53, x54, x55, x56, x57, x58, x59, x60, x61, x62, x63, x64, x65, x66, x67, x68, x69, x70, x71, x72, x73, x74, x75, x76, x77, x78, x79, x80, x81, x82, x83, x84, x85, x86, x87, x88, x89, x90, x91, x92, x93, x94, x95, x96, x97, x98, x99, x100,y
1,11,30,35,-34,-45,-7,6,2,40,27,-17,-30,41,-11,6,-29,46,-8,0,34,50,-9,19,-31,12,-31,5,50,49,-41,18,-25,39,-32,-8,45,11,48,-38,-34,-9,-39,-47,-19,1,9,2,-4,17,-49,-21,-17,-41,15,2,-13,0,-43,-48,-1,-34,-14,24,22,4,32,16,31,30,-6,48,-30,5,17,-33,-45,-25,19,-32,8,-13,-37,7,-38,-6,-41,-1,45,33,-33,-41,15,4,-1,-48,24,-19,18,5,89.7
1,-40,28,-32,47,-17,35,-37,-46,26,-2,-28,50,35,-48,7,47,-4,-18,-39,-44,31,-21,-35,-5,-1,15,-2,-28,46,32,27,22,10,11,18,9,-39,-3,13,37,45,2,3,-4,-30,-41,-42,16,-9,-30,23,-29,-35,38,-18,14,-32,-4,36,-37,45,-21,35,-30,6,-32,29,18,15,-43,-30,10,9,23,22,29,32,30,-39,39,16,0,-41,31,-47,-42,-40,-28,4,13,-15,-2,8,37,-16,-37,21,-38,-3,38.7
1,-14,37,18,12,-5,-10,-17,41,39,29,18,27,-5,-33,3,42,-30,11,-48,-42,31,15,-40,46,39,47,-21,-49,-17,-42,-35,19,45,33,47,-45,39,46,12,-7,25,-21,37,-31,-38,-11,27,50,16,29,-43,-4,-41,-33,-9,48,-37,-13,16,-3,-5,31,32,-11,-21,-5,-6,-33,-10,-44,-23,31,-49,-37,16,-36,-32,-7,-37,34,-29,-30,46,48,-12,-47,45,-33,-10,-24,-20,1,-44,29,40,-49,-27,50,36,52.5
1,-21,-45,-38,-40,24,-25,-8,38,-7,35,17,43,23,3,4,20,7,7,-20,-9,13,7,-13,-37,-21,-35,-48,-19,-46,19,-34,-16,24,-22,-40,-37,-31,2,17,-22,-47,-17,37,26,3,-10,-5,-41,48,25,-34,10,-19,4,-10,-23,19,-42,8,-10,27,-10,-10,-33,18,-34,-20,3,18,48,31,-13,47,-17,-38,-1,23,7,-25,20,49,-9,47,46,11,-48,-28,47,-40,-4,-14,38,36,26,-46,3,42,-16,22,-79.1
1,-25,48,-32,13,45,1,-9,-41,-26,15,-50,10,13,-42,-28,-26,19,-26,-3,15,-49,43,17,39,29,-8,9,48,50,9,20,42,7,4,-30,-33,-45,11,43,46,42,10,5,4,18,-6,29,-48,-16,42,-16,-15,0,-50,-27,-22,-7,32,43,-42,-43,-22,16,14,32,36,-3,3,-37,-45,-2,-46,15,20,-25,49,-37,20,-49,-3,-23,-15,33,27,-15,22,22,-6,-30,14,-31,-23,42,35,7,-11,-13,20,43,37.7
1,0,25,-44,-30,-10,26,-39,-12,39,31,-45,-48,-43,-10,1,1,-8,39,-28,36,-42,2,-46,-49,-41,6,8,-2,43,-23,-44,-42,-48,-37,-22,-42,39,-10,-38,-6,37,-32,-38,11,-26,13,-39,16,1,50,-32,-24,1,39,-23,10,-6,2,24,-14,-5,31,-6,-3,10,-11,-29,-36,29,-16,-26,-19,-32,-14,42,-8,15,19,25,33,18,43,25,-32,31,-49,-6,42,-31,-32,44,15,15,-12,28,-26,-7,50,-12,-185.6
1,38,50,-21,-32,-33,15,27,-25,47,-5,50,29,-37,42,3,48,-11,-30,-8,-20,-10,-24,-27,-46,7,-23,32,31,20,-3,35,7,-4,-37,-8,-21,-5,-32,5,-9,-21,4,36,-8,-38,-46,-44,1,41,-36,-3,-20,-44,20,-50,13,48,-1,-7,-17,46,44,41,-42,24,49,-13,-32,-34,8,-25,-5,29,27,4,41,31,-24,-43,-13,-44,4,18,-38,40,-16,25,3,33,34,37,-5,-7,-7,3,-34,-9,6,-50,-30.9
1,-27,-36,42,-16,9,18,38,-35,-36,30,-28,2,36,-8,36,48,48,-31,-12,1,19,-29,-13,-37,15,30,16,-3,37,38,-2,-41,18,-11,-7,-24,-43,48,-9,38,-7,-21,-11,-21,-13,-26,43,-15,-40,-19,36,29,2,39,42,33,18,-27,-20,-30,27,28,46,-5,33,-46,21,6,18,-38,-6,-39,-43,33,-10,-5,24,49,30,34,-21,-19,12,-2,-31,-31,-20,3,-42,-24,23,35,20,18,-21,3,22,17,25,134.6
1,-44,-5,-32,-33,2,18,-27,47,-9,-29,-8,41,-33,23,-32,15,8,-47,11,-40,-39,4,-1,12,-27,33,8,-8,-29,-26,-33,-23,19,-15,-6,37,19,17,0,26,4,42,16,21,-19,34,-49,39,3,13,16,-20,-34,-36,43,-45,48,-34,-2,-32,-10,15,-5,25,16,5,-23,-15,-29,27,-40,-9,-15,-7,-38,16,43,-37,-30,-4,-8,2,26,-26,17,-16,-20,-20,0,28,-2,40,-42,9,-20,24,-37,8,25,-95
1,-16,-16,2,25,19,45,3,-50,37,17,38,49,25,-11,25,50,-45,25,-21,-49,-25,23,-1,-36,31,-43,-39,-30,-30,19,12,-30,19,-37,12,-46,24,31,21,10,-37,8,-25,39,14,16,38,-15,-10,33,-13,15,5,36,-4,-49,10,7,38,-4,42,-1,-17,-24,12,11,47,-15,-9,18,12,5,42,37,-41,5,2,13,41,8,-5,44,-27,16,-5,19,17,-46,42,-30,-33,33,20,0,25,48,27,22,-17,22.7
1,-33,-11,11,-12,47,-37,-3,2,-19,-41,-42,39,-30,18,-39,36,-38,-4,-32,34,-13,-11,-50,36,-42,-34,11,-45,43,49,-46,26,-47,-19,-36,50,-6,-23,-33,25,-13,42,-20,7,9,-9,-41,22,38,-23,-29,41,16,-29,27,-10,-47,-47,-38,46,-49,33,-13,-46,-36,1,20,8,29,38,50,32,29,-21,-46,-46,-14,-37,-8,40,-9,13,31,23,0,7,30,3,10,42,-36,-23,24,1,-19,4,19,-50,29,-156.2
1,-37,4,-6,45,50,23,49,-47,25,-38,-39,15,-31,24,-5,42,-27,18,21,-8,-23,-22,6,-30,-48,23,1,-28,-9,-33,-50,4,22,-40,-2,21,-1,-37,-10,-26,42,1,39,-40,41,50,-49,30,17,23,-29,10,-50,27,30,19,-35,-20,8,7,-37,-26,-40,35,-15,-25,-29,34,-46,11,-43,46,28,12,-45,18,11,23,-3,-23,-5,-16,37,-38,27,16,-3,43,12,21,-1,26,46,-25,-24,-20,-34,-2,30,-24.7
1,-30,25,4,32,-31,32,37,3,-7,10,-50,-14,21,-16,40,-1,28,-29,13,20,0,-17,-32,-25,-22,-41,-33,-26,-24,-19,21,-38,23,-26,45,42,-45,-3,-6,-36,23,-40,1,-40,-39,-44,-25,39,-23,38,8,27,-29,-8,18,-35,1,2,-44,-7,33,27,6,-29,17,-34,-38,-12,-21,-27,3,-48,50,20,29,-40,-8,-47,49,19,42,-28,-38,29,14,-4,10,32,48,16,-26,-3,-42,-4,-16,-9,-22,-37,30,34.6
1,8,-14,49,-24,-15,18,-46,-38,-41,-43,27,-6,49,50,-28,-7,-21,19,-47,27,-18,-15,18,-5,-6,-37,30,35,-42,43,14,-18,45,-22,8,46,12,12,-43,21,-15,35,32,-50,0,20,-7,-5,-12,-38,-28,-13,-2,40,-2,42,19,-23,-8,27,36,23,25,30,-50,-18,26,13,10,-1,50,46,50,-3,12,-1,-33,-46,11,-29,34,33,8,-19,-12,-44,39,-44,50,-20,0,36,-48,-26,-19,20,-27,23,-18,-57.5
1,33,-28,48,-6,-29,-5,22,-13,12,-7,48,33,-24,-4,-43,7,34,30,-5,6,-5,-9,22,47,-40,47,-22,30,36,-50,28,-16,39,25,-5,-40,36,-34,-37,-3,9,27,47,35,-28,20,-43,22,-35,-32,44,10,10,16,-27,20,-22,-33,-35,-37,-33,43,-3,23,-17,8,33,-31,25,12,-18,50,-12,45,35,-24,-20,8,48,-5,27,41,22,-48,-28,45,22,0,-39,3,-21,45,-5,-7,17,-6,-50,-35,-21,65.8
1,25,27,12,25,31,-28,-25,-44,3,33,-47,48,-25,11,-15,-23,33,46,15,50,23,-33,-22,-16,-22,21,17,-11,22,33,18,-38,-25,-21,37,-44,2,28,-38,21,-23,33,-16,2,-41,20,-4,42,-19,27,7,-46,11,36,-12,5,6,-46,44,44,3,12,-44,-5,7,9,-33,25,-47,46,-5,-20,28,30,-2,3,-35,44,-39,-38,21,18,-34,-19,3,-30,36,26,42,-4,-15,-40,-43,-43,5,-20,-17,22,-45,-19.4
1,-14,-16,-34,16,-39,12,-37,-19,-7,24,-8,6,-40,-41,-12,-43,-21,9,9,21,-34,-46,22,43,28,30,-2,-42,-38,36,30,-2,-31,12,30,48,-26,9,45,-17,-18,-14,39,-8,-39,-23,-35,-44,2,25,27,-16,29,-1,-24,7,45,-10,-19,-44,43,-40,-30,28,22,50,-9,12,-26,-15,46,7,21,0,15,33,-7,31,39,11,5,-18,45,50,-3,38,6,-9,44,37,-3,36,13,-17,-20,-49,49,21,13,-129.2
1,-28,-44,-26,-5,-7,25,27,-25,34,-27,31,-5,-6,29,-45,-7,-25,43,16,16,3,-32,29,-46,32,28,-16,-1,26,-45,-39,48,-39,-48,-41,4,-7,36,-4,-24,-42,43,-13,2,-13,-7,45,12,-49,10,44,4,-5,22,9,-24,-1,43,25,41,14,2,4,25,-30,13,46,13,-2,-43,6,-28,16,43,24,-48,-15,-15,-20,-13,11,-27,7,-45,11,-35,-19,26,25,22,16,-12,41,-31,30,-40,33,-9,-10,-35.4
1,47,-36,46,-31,-4,38,43,-2,40,-23,28,43,39,17,-1,10,-23,-19,42,-48,22,-21,18,26,-31,3,5,47,-15,12,-14,-18,-8,48,-33,38,35,-41,-15,-10,-47,29,-18,8,-5,-2,-33,22,-5,25,-10,-34,21,24,42,6,-23,-37,2,-22,-9,4,-24,34,1,-7,21,-48,3,23,-8,-28,1,25,30,47,39,13,-16,-17,-12,25,-1,-42,-36,-44,14,-9,36,33,20,-23,-14,46,-40,4,-45,31,6,156.3
1,-26,3,48,-4,21,-12,42,-17,-24,4,17,9,8,-43,24,-18,-28,31,13,-21,-18,-5,15,9,-3,-23,-15,-50,-18,-34,6,6,-15,4,-49,-45,42,9,-46,35,-38,22,-7,-13,-5,-33,19,-17,14,-19,-21,12,-8,44,-29,40,-30,6,6,2,-12,29,-43,-10,-18,25,-39,40,50,-34,-10,-38,4,34,-35,15,17,34,49,47,32,-23,8,-27,-30,-5,29,-43,-49,-15,9,-45,-37,-17,-5,-39,24,7,17,-43.6
1,24,-11,-43,2,43,7,17,7,-27,0,-29,36,-19,-36,-41,-29,-49,5,50,-42,-28,-16,-17,-23,-37,16,23,-26,-44,46,8,30,-16,-19,-19,43,38,14,-35,27,-37,-13,12,-39,1,-13,-18,-32,42,-19,-24,-37,-18,10,-9,-39,42,30,-14,48,-9,10,27,-9,41,24,-17,-6,-13,-36,-30,-33,1,-2,-22,19,35,-24,37,27,-27,30,6,5,-11,47,17,47,-8,19,45,-1,45,-13,40,35,-39,39,-22,-150
1,-36,-47,-36,-19,-30,12,-25,39,-38,1,-8,5,25,-29,-39,46,-24,24,-22,-28,-34,13,33,15,-27,-30,-29,-43,48,-41,-49,-39,29,32,-41,50,-7,-16,4,-28,2,46,27,43,-34,38,4,-42,12,-1,48,-6,-39,30,25,-15,16,46,-42,13,22,27,-9,0,8,0,-1,18,0,-47,40,-49,15,-18,10,-2,37,-36,6,-36,13,3,8,-10,-17,49,-9,49,45,-34,-22,16,43,-15,-35,-34,35,-19,0,-72.2
1,-50,-50,-45,19,15,-12,-22,-38,41,-42,19,-46,-13,38,12,28,37,10,35,36,-30,-50,30,36,9,-36,18,-8,15,15,42,15,15,14,50,46,-49,45,-42,42,-48,-7,46,-10,-20,-27,34,-33,-1,18,19,-14,-15,-36,38,44,-22,5,-49,43,36,44,-27,-34,7,-27,-38,-26,-33,37,32,36,-21,-7,42,-25,-18,25,-42,31,-41,27,33,-6,41,21,-47,35,42,-45,-7,28,49,17,44,-29,6,22,-39,10.2
1,-11,8,43,41,3,-49,33,29,-17,7,37,30,16,-20,13,-41,37,-17,-37,22,-26,35,31,-49,33,-37,12,20,19,-17,31,24,8,-11,15,-40,-10,-3,39,-11,20,-8,-32,-14,-12,-3,-39,-26,30,41,12,21,25,-7,-12,-27,6,50,9,42,50,-45,-19,7,-6,46,17,0,-42,-28,39,29,14,24,-36,18,-30,42,42,17,33,4,-13,-27,13,25,-3,35,-9,22,-8,-10,28,24,13,38,19,-21,-12,46.6
1,28,-33,43,6,-3,-18,-14,-36,3,-23,-44,-31,26,-24,-28,50,5,47,-38,-11,-13,34,-2,-7,-23,-29,-45,-35,40,-15,3,-17,-32,-39,5,16,-6,7,30,13,1,2,-2,43,-6,20,8,15,-18,20,21,20,-30,-32,-38,-3,-11,35,12,45,-31,31,45,-47,43,-1,19,-48,23,-35,15,-27,-17,-38,-35,28,-2,-10,-8,30,-41,-38,-35,46,-20,45,-41,-15,29,21,-20,14,-32,-26,17,27,-11,-48,29,-57.6
1,28,-33,-41,-50,0,-29,33,44,-15,-28,-48,-36,48,31,47,10,28,41,19,-38,-15,-45,-42,49,-27,-18,15,50,-12,17,-6,-35,0,3,33,17,-10,-19,-24,25,-31,-22,6,33,-41,-32,-8,37,-42,-40,15,-7,-34,24,-43,-45,-45,22,-45,-41,-45,-35,42,-29,19,24,38,25,-46,-36,0,40,-42,22,22,34,40,-36,20,14,-26,-15,23,-44,25,30,-38,-4,-33,34,6,39,49,-3,-40,-17,37,14,-42,79.7
1,7,-6,-26,-4,3,46,-33,-14,1,48,23,-36,39,24,37,45,-2,16,23,44,-1,-28,-35,-12,38,12,-2,-30,-2,-39,45,21,-28,-32,-34,-9,30,-50,27,47,48,-35,-40,36,39,13,-3,-48,45,36,13,-6,-42,28,32,46,-44,-21,32,-30,-44,27,42,45,11,-43,-15,-43,-43,29,-47,22,44,-36,-27,-1,-7,20,-33,-12,6,30,32,-20,8,-21,-25,14,-26,23,34,-20,-35,25,42,27,-1,-24,34,84.1
1,-28,-46,37,44,15,17,-33,-37,-40,3,47,-2,25,27,46,-46,-16,-26,46,14,-2,19,-3,-6,34,39,-15,-24,-47,-22,26,-25,-18,13,-31,13,46,-48,26,-45,5,-11,-31,-20,-35,31,-50,-35,21,47,29,35,-19,42,-21,-36,-4,-20,-43,-1,8,33,25,7,-5,10,-31,-43,-22,12,-38,33,-50,49,29,-35,29,-4,47,0,-8,25,-16,23,-18,-21,3,29,10,10,-23,34,-7,18,-44,4,-23,-24,11,49
1,5,4,-10,-46,4,-12,-1,-15,-34,45,-19,-18,-14,22,17,25,20,46,-22,-2,-29,4,-8,22,13,-41,28,34,-13,-47,-6,8,7,0,12,27,38,28,28,21,22,-42,-48,25,-4,19,-1,-34,-19,-7,-20,-32,48,22,40,-24,32,18,-41,35,21,-30,-8,45,20,21,-13,8,-2,-35,45,-31,40,47,10,-14,-18,26,-32,-21,35,-2,-3,-2,37,-13,25,18,-46,34,-32,-9,-47,10,-49,24,47,-11,48,-13.7
1,-6,4,42,-20,-7,4,6,-5,36,-19,-21,-36,-34,28,-22,14,14,15,-12,48,19,-28,-35,26,42,-9,28,15,-12,33,-22,32,-48,36,28,-5,-10,-16,7,42,-19,36,23,-3,-21,-50,28,43,15,-35,6,50,-47,21,-9,46,-38,35,-24,-34,17,-29,14,19,-44,-8,31,-4,-8,-47,-46,23,39,27,37,-32,-7,14,27,-43,29,50,23,-1,-14,30,-40,-36,15,-14,-20,-19,-27,45,17,-20,-48,-37,-8,-12.3
1,-6,-34,-4,33,-46,-28,19,39,-19,-18,-18,-46,28,48,27,-24,-17,-27,-14,-2,38,-12,28,35,12,-12,-33,42,-10,-20,50,0,-4,-4,50,-33,-16,18,22,16,-50,20,20,28,17,-37,20,-50,-14,-45,-2,40,-41,42,24,21,-20,42,-22,-14,38,45,3,-16,-10,2,1,-10,-31,39,-45,36,9,-8,-21,-25,-29,15,42,7,20,-45,-4,-4,14,36,33,10,-7,28,46,-19,22,-36,-19,-39,16,-2,-33,89.8
1,2,-14,40,-47,45,-19,-17,37,2,48,-6,25,-16,-34,37,30,30,-12,-22,-11,32,-45,-50,29,27,-35,-41,4,-3,7,22,49,43,11,-48,4,8,-49,-44,26,15,-34,0,49,-18,-48,-6,28,-10,-11,-34,38,-6,34,16,38,15,25,-9,-39,48,29,27,7,-45,-5,-40,13,-38,33,-12,27,49,4,-8,48,6,2,25,47,41,8,34,-15,-43,-34,39,22,7,-21,-1,5,25,42,-39,30,-14,38,-7,51.1
